date,adj_close
4/7/1988,266.16
4/8/1988,269.43
4/11/1988,270.16
4/12/1988,271.37
4/13/1988,271.57
4/14/1988,259.75
4/15/1988,259.77
4/18/1988,259.21
4/19/1988,257.92
4/20/1988,256.13
4/21/1988,256.42
4/22/1988,260.14
4/25/1988,262.46
4/26/1988,263.93
4/27/1988,263.8
4/28/1988,262.61
4/29/1988,261.33
5/2/1988,261.56
5/3/1988,263
5/4/1988,260.32
5/5/1988,258.79
5/6/1988,257.48
5/9/1988,256.54
5/10/1988,257.62
5/11/1988,253.31
5/12/1988,253.85
5/13/1988,256.78
5/16/1988,258.71
5/17/1988,255.34
5/18/1988,251.35
5/19/1988,252.57
5/20/1988,253.02
5/23/1988,250.83
5/24/1988,253.51
5/25/1988,253.76
5/26/1988,254.63
5/27/1988,253.42
5/30/1988,253.42
5/31/1988,262.16
6/1/1988,266.69
6/2/1988,265.33
6/3/1988,266.45
6/6/1988,267.05
6/7/1988,265.17
6/8/1988,271.52
6/9/1988,270.2
6/10/1988,271.26
6/13/1988,271.43
6/14/1988,274.3
6/15/1988,274.45
6/16/1988,269.77
6/17/1988,270.68
6/20/1988,268.94
6/21/1988,271.67
6/22/1988,275.66
6/23/1988,274.82
6/24/1988,273.78
6/27/1988,269.06
6/28/1988,272.31
6/29/1988,270.98
6/30/1988,273.5
7/1/1988,271.78
7/4/1988,271.78
7/5/1988,275.81
7/6/1988,272.02
7/7/1988,271.78
7/8/1988,270.02
7/11/1988,270.55
7/12/1988,267.85
7/13/1988,269.32
7/14/1988,270.26
7/15/1988,272.05
7/18/1988,270.51
7/19/1988,268.47
7/20/1988,270
7/21/1988,266.66
7/22/1988,263.5
7/25/1988,264.68
7/26/1988,265.19
7/27/1988,262.5
7/28/1988,266.02
7/29/1988,272.02
8/1/1988,272.21
8/2/1988,272.06
8/3/1988,272.98
8/4/1988,271.93
8/5/1988,271.15
8/8/1988,269.98
8/9/1988,266.49
8/10/1988,261.9
8/11/1988,262.75
8/12/1988,262.55
8/15/1988,258.69
8/16/1988,260.56
